IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus
29349305,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,CHAMBERLAIN,LN,,,,,,,,38.31279299,-85.56758965,4.055,44523,1805,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44524.36553,FALSE,2489,Accepted
29349272,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1020,,2ND,ST,S,,GUTHRIE,,,,,38.24971628,-85.75443905,12.362,44517,1801,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING),,,44524.36439,FALSE,5173,Accepted
29321718,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY2048,,DUTCHMANS,LN,,,GAST,,,,,38.22419746,-85.65463154,0.234,44516,0140,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44517.29874,FALSE,2228,Accepted
29271356,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,HIKES,LN,,US0031E,BUECHEL,,,,,38.19831229,-85.66111853,0.806,44508,1046,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44510.33448,FALSE,5247,Accepted
29196048,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,19TH,ST,S,,,,MAGAZINE,US0150,BROADWAY,38.25013923,-85.78297597,0.617,44507,1500,2,1,0,1,CLEAR,DRY,TRUE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44508.31574,FALSE,5251,Accepted
29187055,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,22ND,ST,S,,,,WOODLAND,,STANDARD,38.23216589,-85.79155393,18.399,44504,1916,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY NOT LIGHTED,,,44505.34834,FALSE,5164,Accepted
29196020,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1020,,NATIONAL,TPKE,,,RECOVERY,,,,,38.14364666,-85.75634154,4.873,44502,2105,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,,,44508.31508,FALSE,5266,Accepted
29159747,0560400,SHIVELY POLICE DEPARTMENT,Accepted,JEFFERSON,,1734,GAGEL,AVE,,,,,,,,38.17579646,-85.821494,,44497,2216,2,1,0,0,CLEAR,WET,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44502.20082,FALSE,7114,Accepted
29141443,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0150,,BROADWAY,,E,,FLOYD,,,,,38.24554238,-85.74976977,2.837,44496,1743,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44498.3203,FALSE,5367,Accepted
28935132,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0264,,,,,,,,,,,38.21057049,-85.67086876,0.327,44490,1514,2,1,0,0,CLEAR,DRY,FALSE,OTHER RAMP RELATED COLLISIONS NOT LISTED ABOVE,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,I 0264,US31E S,44491.57037,FALSE,8278,Accepted
28916026,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,6TH,ST,S,,PARK,,,,,38.23179257,-85.76426198,1.754,44486,1600,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44487.36017,FALSE,7132,Accepted
29125238,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,6TH,ST,S,US0150,BROADWAY,,,,,38.24636469,-85.76171558,0.739,44484,2323,2,1,0,1,RAINING,WET,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44496.41236,FALSE,5335,Accepted
28906860,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0150,,BROADWAY,,W,,,,,,,38.24679567,-85.76635135,1.952,44483,1326,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44484.30314,FALSE,5148,Accepted
28896626,0561000,JEFFERSONTOWN POLICE DEPT,Accepted,JEFFERSON,,,MERIONETH,DR,,KY0155,TAYLORSVILLE,,,,,38.20357765,-85.57687304,,44481,1655,2,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44481.95144,FALSE,8265,Accepted
28854856,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,1020,MARKET,ST,W,,,,,,,38.25634529,-85.76689568,21.271,44479,0621,3,1,0,0,CLEAR,DRY,TRUE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44480.35155,FALSE,7386,Accepted
28854819,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,ST CATHERINE,ST,W,,GARVIN,,,,,38.23739919,-85.76159925,0.367,44478,1420,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44480.35068,FALSE,5186,Accepted
28780652,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0060,,SHELBYVILLE,RD,,,VIEUX CARRE,,,,,38.24622841,-85.57462994,7.982,44469,0428,1,0,0,1,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON,,,44470.33755,FALSE,5041,Accepted
28752036,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,DIXIE,HWY,,,,,VESPER,,BARRETT,38.10541615,-85.86816732,8.462,44467,1222,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44468.34367,FALSE,6318,Accepted
28708790,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1142,971,PALATKA,RD,,,,,PARK,,SOUTHVIEW,38.15190863,-85.78348238,1.043,44464,0116,3,1,0,2,CLEAR,DRY,TRUE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON,,,44466.36597,FALSE,7649,Accepted
29466505,0560400,SHIVELY POLICE DEPARTMENT,Accepted,JEFFERSON,KY1931,3200,7TH STREET,RD,,,,,,,,38.20024902,-85.79540761,8.821,44462,1706,2,1,1,0,CLEAR,DRY,TRUE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44545.26381,FALSE,7135,Accepted
28694847,0561500,UNIV. OF LOUISVILLE POLICE,Accepted,JEFFERSON,,,4TH,ST,S,,CARDINAL,,,,,38.22077241,-85.76283458,2.496,44461,2125,2,1,0,1,RAINING,WET,TRUE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44462.52574,FALSE,5708,Accepted
28776311,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,24TH,ST,S,,CHESTNUT,,,,,38.25274365,-85.79191514,0.531,44459,2112,2,1,0,2,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44469.34969,FALSE,5306,Accepted
28798550,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1020,,NATIONAL,TPKE,,,TOLLS,,,,,38.13561156,-85.75231654,4.278,44458,1723,2,1,1,0,RAINING,WET,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44475.34342,FALSE,7720,Accepted
28678813,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1865,,TAYLOR,BLVD,,,STRADER,,,,,38.19109918,-85.78331382,5.84,44458,2223,2,1,0,0,RAINING,WET,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44459.35179,FALSE,5183,Accepted
28643036,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,GRANADA,DR,,,,,SEVILLE,,GRANADA,38.11331865,-85.85121857,0.224,44448,1914,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & HILLCREST,DAYLIGHT,,,44449.32045,FALSE,6318,Accepted
28635532,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,BELMAR,DR,,,,,,,,38.19479079,-85.72946033,0.013,44447,1144,2,1,0,1,CLOUDY,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44448.33927,FALSE,4693,Accepted
28627243,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,LIBERTY,ST,E,,1ST,,,,,38.25251684,-85.75221502,0.001,44446,0634,2,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44447.3392,FALSE,7386,Accepted
28607799,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,28TH,ST,S,,WOODLAND,,,,,38.23408722,-85.80062937,1.872,44442,0950,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44446.36037,FALSE,5253,Accepted
28594647,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1065,,OUTER,LOOP,,,JEFFERSON,,,,,38.13792505,-85.67515849,6.693,44441,1201,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44442.31721,FALSE,2324,Accepted
29901008,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,7123,GRADE,LN,,,,,,,,38.14252642,-85.73850772,3.102,44438,2105,2,1,1,0,RAINING,WET,TRUE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,,,44656.34082,FALSE,7772,Accepted
28577458,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,GAST,BLVD,,KY2048,CANNONS,,,,,38.22415943,-85.65469046,0.005,44435,0753,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44438.36569,FALSE,6813,Accepted
28559136,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,GARLAND,AVE,,,28TH,,,,,38.24496253,-85.79907815,1.76,44432,1629,2,1,0,1,CLEAR,DRY,TRUE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44433.31196,FALSE,5032,Accepted
28554287,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031E,,MAIN,ST,W,US0031W,2ND,,,,,38.25622208,-85.75321944,17.881,44431,1229,2,1,0,1,CLOUDY,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44432.31151,FALSE,7937,Accepted
28541558,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,GAST,BLVD,,KY2048,DUTCHMANS,,,,,38.22415843,-85.65468696,0.005,44428,0833,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44428.57979,FALSE,7570,Accepted
28540110,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,POPE LICK,RD,S,,,KY0155,TAYLORSVILLE,,REHL,38.19090173,-85.48696359,0.174,44427,1525,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44428.29863,FALSE,6878,Accepted
28531867,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,400,JEFFERSON,ST,E,,,,,,,38.25261361,-85.74536274,0.597,44423,1729,2,1,0,1,CLOUDY,DRY,TRUE,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44426.30951,FALSE,7239,Accepted
28522046,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,26TH,ST,S,,MARKET,,,,,38.25949921,-85.79374753,0.087,44422,0143,2,1,0,1,CLEAR,DRY,TRUE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44424.32085,FALSE,5306,Accepted
28522044,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,25TH,ST,N,KY3064,PORTLAND,,,,,38.27067441,-85.78886979,0.192,44421,2059,1,0,0,1,CLEAR,DRY,TRUE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44424.32078,FALSE,5306,Accepted
28495104,0560400,SHIVELY POLICE DEPARTMENT,Accepted,JEFFERSON,,,ARCADE,AVE,,KY1931,7TH ST,,,,,38.20975401,-85.78708593,0.59,44416,1448,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44419.74686,FALSE,7132,Accepted
28501362,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,DIXIE,HWY,,,,,ALANADALE,KY0907,VALLEY STATION,38.10815282,-85.86640127,8.673,44416,1209,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44421.32242,FALSE,2098,Accepted
28488526,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,30TH,ST,N,,CROP,,,,,38.26222064,-85.8005099,0.643,44416,1802,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44418.31245,FALSE,5124,Accepted
28448845,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031E,,BARDSTOWN,RD,,,LUCIA,,,,,38.23700272,-85.71843026,15.254,44405,1518,2,1,0,1,CLEAR,DRY,TRUE,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44407.3354,FALSE,5006,Accepted
28431065,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1931,,ST ANDREWS CHURCH,RD,,,PENNACOOK,,,,,38.15449822,-85.80283214,5.407,44403,2250,2,1,0,0,CLEAR,DRY,TRUE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44404.33711,FALSE,5318,Accepted
28410086,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0150,,21ST,ST,N,US0031W,MAIN,,,,,38.25979717,-85.78464887,0.757,44400,1700,2,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44403.34249,FALSE,5108,Accepted
28409923,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,BROADWAY,,W,,,,34TH,,32ND,38.24985412,-85.80682253,1.014,44398,1820,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44403.33659,FALSE,7058,Accepted
28388930,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,JEFFERSON,ST,,,,,,,,38.19585994,-85.56625883,0.034,44395,1946,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44397.60847,FALSE,2738,Accepted
28383354,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0146,,LA GRANGE,RD,,,LAKELAND,,,,,38.27022074,-85.55435109,4.03,44395,0855,2,1,0,1,CLOUDY,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44396.34308,FALSE,7316,Accepted
28383254,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1020,,SOUTHERN,PKWY,,,LANSING,,,,,38.19254087,-85.76674598,8.579,44393,1138,2,1,0,0,CLEAR,DRY,TRUE,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44396.3387,FALSE,7251,Accepted
28383279,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,BOHNE,AVE,,,RUSSELL LEE,,,,,38.2288245,-85.81714684,0.015,44393,2150,2,1,0,0,RAINING,WET,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,CURVE & GRADE,DARK-HWY LIGHTED/OFF,,,44396.33968,FALSE,2186,Accepted
28440763,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,MARKET,ST,W,US0031E,3RD,,,,,38.25506397,-85.75507776,21.942,44393,1530,2,1,0,0,CLEAR,DRY,TRUE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,,DAYLIGHT,,,44405.3443,FALSE,7904,Accepted
28366374,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,LIBERTY,ST,E,,FLOYD,,,,,38.2522258,-85.74853842,0.196,44391,0216,2,1,0,1,CLEAR,WET,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,44391.35252,FALSE,5331,Accepted
28366368,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031E,,MARKET,ST,E,,1ST,,,,,38.25472251,-85.75190064,17.663,44390,2240,2,1,0,0,CLEAR,DRY,TRUE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44391.3522,FALSE,5295,Accepted
28358011,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0061,,PRESTON,HWY,,,,,,,,38.15491431,-85.69594379,5.193,44388,1400,2,1,0,1,CLEAR,DRY,TRUE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44389.36241,FALSE,7449,Accepted
28403389,0560400,SHIVELY POLICE DEPARTMENT,Accepted,JEFFERSON,,,OEHRLE,DR,,US0031W,DIXIE,,,,,38.19797924,-85.80421192,0.004,44388,1356,2,1,0,0,CLOUDY,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44401.01607,FALSE,7107,Accepted
28357948,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,3100,RIVER,RD,,,,,,,,38.28071243,-85.69456457,0.163,44387,0605,2,1,0,1,RAINING,WET,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAWN,,,44389.35972,FALSE,7219,Accepted
28343789,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,GAULBERT,AVE,W,KY1020,3RD,,,,,38.22451396,-85.76048057,0.091,44384,1914,2,1,0,0,CLOUDY,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,,,44385.34603,FALSE,5180,Accepted
28340367,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0060A,,EASTERN,PKWY,,KY0061,SHELBY,,,,,38.21483697,-85.74264939,4.582,44381,1822,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44384.52186,FALSE,7257,Accepted
28343801,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,2907,MARKET,ST,W,,29TH,,,,,38.2600609,-85.79897838,0.688,44381,2127,2,1,0,1,CLEAR,DRY,TRUE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,,,44385.3464,FALSE,5295,Accepted
28343810,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,DIXIE,HWY,,,SPEEDWAY,,,,,38.11762377,-85.8588394,9.446,44381,1820,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44385.34656,FALSE,5170,Accepted
